Library_ID	Genotype	Gen_Group	Phenotype	Serial_Number	Bench_Position	Bench	Treatment	Leaf1_Stage	Leaf2_Stage	Inoc_Time	Worker	Date_Time	Inoc_temp_C	Inoc_RH_perc	Inoc_light_lux	Collect_temp_C	Collect_RH_perc	Collect_light_lux
PA16_107_2A53_S19	PA 16	Maranon	R	107	2-A-5-3	2A	control	E	E	06/24/20 09:50:00 PM	MGP	06/25/20 06:10:00 AM	25.404	78.274	11.8	25.598	76.89	106.4
PA16_122_2B31_S17	PA 16	Maranon	R	122	2-B-3-1	2B	treatment	E	E	06/24/20 10:32:00 PM	MGP	06/25/20 06:54:00 AM	26.085	73.292	3.9	26.451	68.401	681.9
PA16_124_2B33_S19	PA 16	Maranon	R	124	2-B-3-3	2B	treatment	E	E	06/24/20 10:37:00 PM	MGP	06/25/20 06:59:00 AM	26.085	74.437	3.9	26.524	68.117	721.4
PA16_146_2C15_S25	PA 16	Maranon	R	146	2-C-1-5	2C	control	E	E	06/24/20 11:45:00 PM	MGP	06/25/20 08:43:00 AM	24.847	83.942	11.8	28.122	75.799	1722.6
PA16_160_2C44_S23	PA 16	Maranon	R	160	2-C-4-4	2C	control	DE	E	06/25/20 12:17:00 AM	MGP	06/25/20 09:09:00 AM	24.774	83.756	3.9	28.642	69.603	2101
PA279_126_2B35_S21	PA 279	Maranon	R	126	2-B-3-5	2B	treatment	E	E	06/24/20 10:42:00 PM	MGP	06/25/20 07:05:00 AM	26.109	75.563	3.9	26.646	68.078	760.8
PA299_018_1A44_S16	PA 299	Maranon	S	18	1-A-4-4	1A	treatment	DE	DE	06/24/20 09:37:00 PM	NPW	06/25/20 05:52:00 AM	26.891	71.875	11.8	26.94	72.145	43.4
PA299_043_1B42_S7	PA 299	Maranon	S	43	1-B-4-2	1B	control	D	D	06/24/20 10:47:00 PM	NPW	06/25/20 07:10:00 AM	26.378	79.561	3.9	27.063	75.668	650.4
PA299_101_2A42_S29	PA 299	Maranon	S	101	2-A-4-2	2A	control	E	E	06/24/20 09:35:00 PM	MGP	06/25/20 05:49:00 AM	25.574	78.592	11.8	25.525	76.614	35.5
PA299_130_2B44_S25	PA 299	Maranon	S	130	2-B-4-4	2B	treatment	D	E	06/24/20 10:52:00 PM	MGP	06/25/20 07:16:00 AM	26.109	75.446	3.9	26.818	68.087	886.9
PA81_020_1A51_S2	PA 81	Maranon	S	20	1-A-5-1	1A	treatment	DE	DE	06/24/20 09:42:00 PM	NPW	06/25/20 05:59:00 AM	26.793	70.404	11.8	27.014	68.693	74.9
PA81_077_1C51_S8	PA 81	Maranon	S	77	1-C-5-1	1C	treatment	DE	DE	06/25/20 12:22:00 AM	NPW	06/25/20 09:13:00 AM	24.847	83.036	NA	26.451	79.372	NA
PA81_108_2A55_S20	PA 81	Maranon	S	108	2-A-5-5	2A	control	D	D	06/24/20 09:52:00 PM	MGP	06/25/20 06:13:00 AM	25.428	78.457	11.8	25.647	76.735	122.2
PA81_165_2C55_S28	PA 81	Maranon	S	165	2-C-5-5	2C	control	E	E	06/25/20 12:30:00 AM	MGP	06/25/20 09:19:00 AM	24.726	86.777	11.8	28.99	69.152	2337.5
PINA_024_1A61_S5	PINA	Guiana	R	24	1-A-6-1	1A	treatment	E	E	06/24/20 09:50:00 PM	NPW	06/25/20 06:10:00 AM	26.451	65.093	11.8	26.989	66.933	161.6
